epoch,lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/logits/fake_step,train/logits/real_step,train/loss/disc_step,train/loss/g_step,train/loss/nll_step,train/loss/rec_step,train/loss/total_step,train/scalars/d_weight_step,train/scalars/logvar_step
,0.00045,0.00045,49,,,,,,,,,,
0,,,49,145.0,-0.376953125,-0.423828125,0.0,0.0,9088.0,0.55859375,9216.0,0.0,-0.00958251953125
,0.00045,0.00045,99,,,,,,,,,,
0,,,99,372.0,-0.4140625,-0.416015625,0.0,0.0,5568.0,0.353515625,5952.0,0.0,-0.021240234375
,0.00045,0.00045,149,,,,,,,,,,
0,,,149,332.0,-0.400390625,-0.396484375,0.0,0.0,5952.0,0.384765625,6272.0,0.0,-0.033447265625
,0.00045,0.00045,199,,,,,,,,,,
0,,,199,264.0,-0.3984375,-0.388671875,0.0,0.0,5088.0,0.341796875,5344.0,0.0,-0.045654296875
,0.00045,0.00045,249,,,,,,,,,,
0,,,249,332.0,-0.41015625,-0.421875,0.0,0.0,4352.0,0.3046875,4672.0,0.0,-0.057861328125
,0.00045,0.00045,299,,,,,,,,,,
0,,,299,386.0,-0.58203125,-0.5234375,0.0,0.0,3696.0,0.275390625,4080.0,0.0,-0.06982421875
,0.00045,0.00045,349,,,,,,,,,,
0,,,349,270.0,-0.490234375,-0.50390625,0.0,0.0,3536.0,0.275390625,3808.0,0.0,-0.08203125
,0.00045,0.00045,399,,,,,,,,,,
0,,,399,320.0,-0.365234375,-0.37109375,0.0,0.0,2976.0,0.251953125,3296.0,0.0,-0.09423828125
,0.00045,0.00045,449,,,,,,,,,,
0,,,449,286.0,-0.427734375,-0.447265625,0.0,0.0,3760.0,0.30078125,4048.0,0.0,-0.1064453125
,0.00045,0.00045,499,,,,,,,,,,
0,,,499,282.0,-0.375,-0.408203125,0.0,0.0,3296.0,0.283203125,3584.0,0.0,-0.11865234375
,0.00045,0.00045,549,,,,,,,,,,
0,,,549,290.0,-0.396484375,-0.408203125,0.0,0.0,2752.0,0.259765625,3040.0,0.0,-0.125
,0.00045,0.00045,599,,,,,,,,,,
0,,,599,398.0,-0.4375,-0.4609375,0.0,0.0,2736.0,0.2578125,3136.0,0.0,-0.125
,0.00045,0.00045,649,,,,,,,,,,
0,,,649,370.0,-0.40625,-0.427734375,0.0,0.0,2512.0,0.24609375,2880.0,0.0,-0.125
,0.00045,0.00045,699,,,,,,,,,,
0,,,699,312.0,-0.376953125,-0.396484375,0.0,0.0,2528.0,0.2470703125,2848.0,0.0,-0.125
,0.00045,0.00045,749,,,,,,,,,,
0,,,749,326.0,-0.43359375,-0.447265625,0.0,0.0,2336.0,0.236328125,2656.0,0.0,-0.125
,0.00045,0.00045,799,,,,,,,,,,
0,,,799,308.0,-0.3828125,-0.412109375,0.0,0.0,2288.0,0.2333984375,2592.0,0.0,-0.125
,0.00045,0.00045,849,,,,,,,,,,
0,,,849,412.0,-0.46484375,-0.498046875,0.0,0.0,3584.0,0.302734375,4000.0,0.0,-0.125
,0.00045,0.00045,899,,,,,,,,,,
0,,,899,316.0,-0.4296875,-0.435546875,0.0,0.0,1992.0,0.2177734375,2304.0,0.0,-0.125
,0.00045,0.00045,949,,,,,,,,,,
0,,,949,346.0,-0.392578125,-0.423828125,0.0,0.0,2192.0,0.228515625,2544.0,0.0,-0.125
,0.00045,0.00045,999,,,,,,,,,,
0,,,999,338.0,-0.396484375,-0.39453125,0.0,0.0,2224.0,0.2294921875,2560.0,0.0,-0.125
,0.00045,0.00045,1049,,,,,,,,,,
0,,,1049,414.0,-0.3984375,-0.427734375,0.0,0.0,1624.0,0.1982421875,2040.0,0.0,-0.125
,0.00045,0.00045,1099,,,,,,,,,,
0,,,1099,356.0,-0.302734375,-0.31640625,0.0,0.0,2176.0,0.2275390625,2528.0,0.0,-0.125
,0.00045,0.00045,1149,,,,,,,,,,
0,,,1149,352.0,-0.4296875,-0.4453125,0.0,0.0,2064.0,0.2216796875,2416.0,0.0,-0.125
,0.00045,0.00045,1199,,,,,,,,,,
0,,,1199,344.0,-0.447265625,-0.435546875,0.0,0.0,2336.0,0.236328125,2688.0,0.0,-0.125
,0.00045,0.00045,1249,,,,,,,,,,
0,,,1249,302.0,-0.431640625,-0.466796875,0.0,0.0,2192.0,0.228515625,2496.0,0.0,-0.125
,0.00045,0.00045,1299,,,,,,,,,,
0,,,1299,382.0,-0.3828125,-0.416015625,0.0,0.0,1432.0,0.1875,1816.0,0.0,-0.125
,0.00045,0.00045,1349,,,,,,,,,,
0,,,1349,400.0,-0.45703125,-0.484375,0.0,0.0,1688.0,0.201171875,2080.0,0.0,-0.125
,0.00045,0.00045,1399,,,,,,,,,,
0,,,1399,426.0,-0.412109375,-0.435546875,0.0,0.0,2192.0,0.2294921875,2624.0,0.0,-0.126953125
,0.00045,0.00045,1449,,,,,,,,,,
0,,,1449,324.0,-0.40234375,-0.412109375,0.0,0.0,1824.0,0.212890625,2144.0,0.0,-0.1318359375
,0.00045,0.00045,1499,,,,,,,,,,
0,,,1499,338.0,-0.408203125,-0.431640625,0.0,0.0,1012.0,0.1845703125,1352.0,0.0,-0.154296875
,0.00045,0.00045,1549,,,,,,,,,,
0,,,1549,360.0,-0.44921875,-0.455078125,0.0,0.0,648.0,0.1826171875,1008.0,0.0,-0.1787109375
,0.00045,0.00045,1599,,,,,,,,,,
0,,,1599,444.0,-0.3984375,-0.40625,0.0,0.0,364.0,0.18359375,808.0,0.0,-0.203125
,0.00045,0.00045,1649,,,,,,,,,,
0,,,1649,336.0,-0.3984375,-0.423828125,0.0,0.0,151.0,0.1884765625,488.0,0.0,-0.2275390625
,0.00045,0.00045,1699,,,,,,,,,,
0,,,1699,422.0,-0.4140625,-0.42578125,0.0,0.0,-280.0,0.1806640625,142.0,0.0,-0.25
,0.00045,0.00045,1749,,,,,,,,,,
0,,,1749,382.0,-0.466796875,-0.4609375,0.0,0.0,-113.0,0.1884765625,268.0,0.0,-0.25
,0.00045,0.00045,1799,,,,,,,,,,
0,,,1799,432.0,-0.419921875,-0.43359375,0.0,0.0,-340.0,0.177734375,92.0,0.0,-0.25
,0.00045,0.00045,1849,,,,,,,,,,
0,,,1849,392.0,-0.365234375,-0.376953125,0.0,0.0,-223.0,0.18359375,169.0,0.0,-0.25
,0.00045,0.00045,1899,,,,,,,,,,
0,,,1899,332.0,-0.388671875,-0.404296875,0.0,0.0,-536.0,0.1689453125,-204.0,0.0,-0.25
,0.00045,0.00045,1949,,,,,,,,,,
0,,,1949,440.0,-0.41796875,-0.443359375,0.0,0.0,-604.0,0.166015625,-164.0,0.0,-0.25
,0.00045,0.00045,1999,,,,,,,,,,
0,,,1999,348.0,-0.3359375,-0.376953125,0.0,0.0,59.0,0.197265625,408.0,0.0,-0.25
,0.00045,0.00045,2049,,,,,,,,,,
0,,,2049,370.0,-0.462890625,-0.486328125,0.0,0.0,27.625,0.1953125,398.0,0.0,-0.25
,0.00045,0.00045,2099,,,,,,,,,,
0,,,2099,374.0,-0.423828125,-0.4296875,0.0,0.0,2.90625,0.1943359375,376.0,0.0,-0.25
,0.00045,0.00045,2149,,,,,,,,,,
0,,,2149,446.0,-0.41796875,-0.443359375,0.0,0.0,-396.0,0.17578125,50.0,0.0,-0.25
,0.00045,0.00045,2199,,,,,,,,,,
0,,,2199,382.0,-0.353515625,-0.37109375,0.0,0.0,-580.0,0.1669921875,-198.0,0.0,-0.25
,0.00045,0.00045,2249,,,,,,,,,,
0,,,2249,342.0,-0.421875,-0.443359375,0.0,0.0,-908.0,0.1513671875,-568.0,0.0,-0.25
,0.00045,0.00045,2299,,,,,,,,,,
0,,,2299,386.0,-0.31640625,-0.365234375,0.0,0.0,-816.0,0.1552734375,-430.0,0.0,-0.25
,0.00045,0.00045,2349,,,,,,,,,,
0,,,2349,420.0,-0.310546875,-0.328125,0.0,0.0,-776.0,0.1572265625,-356.0,0.0,-0.25
,0.00045,0.00045,2399,,,,,,,,,,
0,,,2399,364.0,-0.357421875,-0.38671875,0.0,0.0,0.74609375,0.1943359375,364.0,0.0,-0.25
,0.00045,0.00045,2449,,,,,,,,,,
0,,,2449,374.0,-0.478515625,-0.490234375,0.0,0.0,-404.0,0.1748046875,-30.0,0.0,-0.25
,0.00045,0.00045,2499,,,,,,,,,,
0,,,2499,376.0,-0.4375,-0.4609375,0.0,0.0,80.5,0.1982421875,456.0,0.0,-0.25
,0.00045,0.00045,2549,,,,,,,,,,
0,,,2549,416.0,-0.451171875,-0.4609375,0.0,0.0,-310.0,0.1796875,106.0,0.0,-0.25
,0.00045,0.00045,2599,,,,,,,,,,
0,,,2599,394.0,-0.466796875,-0.4765625,0.0,0.0,-250.0,0.1826171875,144.0,0.0,-0.25
,0.00045,0.00045,2649,,,,,,,,,,
0,,,2649,348.0,-0.46484375,-0.462890625,0.0,0.0,-1152.0,0.1396484375,-804.0,0.0,-0.25
,0.00045,0.00045,2699,,,,,,,,,,
0,,,2699,388.0,-0.453125,-0.466796875,0.0,0.0,-414.0,0.1748046875,-26.0,0.0,-0.25
,0.00045,0.00045,2749,,,,,,,,,,
0,,,2749,418.0,-0.482421875,-0.4921875,0.0,0.0,-540.0,0.1689453125,-122.0,0.0,-0.25
,0.00045,0.00045,2799,,,,,,,,,,
0,,,2799,392.0,-0.427734375,-0.439453125,0.0,0.0,-102.5,0.189453125,290.0,0.0,-0.25
,0.00045,0.00045,2849,,,,,,,,,,
0,,,2849,418.0,-0.375,-0.392578125,0.0,0.0,-482.0,0.171875,-64.0,0.0,-0.25
,0.00045,0.00045,2899,,,,,,,,,,
0,,,2899,378.0,-0.470703125,-0.47265625,0.0,0.0,-752.0,0.158203125,-374.0,0.0,-0.25
